wkt_geom,SSC_CODE,SSC_NAME,CONF_VALUE,SQKM
POINT(145.200832 -38.490724),21392,Ventnor (Vic.),Very good,54.12896979
POINT(145.790325 -38.676206),21393,Venus Bay (Vic.),Very good,17.32778636
POINT(144.302945 -37.521856),20363,Dales Creek,Poor,2.079419597
POINT(145.199291 -37.838432),21394,Vermont,Very good,4.609475984
POINT(144.935420 -37.670834),20364,Dallas,Very good,2.424761856
POINT(145.187817 -37.854387),21395,Vermont South,Very good,6.183987251
POINT(145.536200 -38.559131),20365,Dalyston,Poor,49.98162188
POINT(145.093234 -37.739906),21396,Viewbank,Very good,4.51117531
POINT(145.212156 -37.984735),20366,Dandenong,Very good,11.16053662
POINT(145.214314 -37.955830),20367,Dandenong North,Very good,9.535355134
POINT(145.218887 -38.020683),20368,Dandenong South,Poor,22.70631506
POINT(144.403335 -37.646814),20370,Darley,Very good,51.83761248
POINT(146.020900 -38.176984),20371,Darnum,Very good,39.31195188
POINT(144.869727 -37.422519),20372,Darraweit Guim,Very good,71.79339239
POINT(145.964162 -38.828980),21403,Walkerville (Vic.),Poor,136.1758337
POINT(144.954229 -37.440300),21404,Wallan,Very good,136.6036772
POINT(144.140578 -37.352954),20374,Daylesford,Good,15.72767361
POINT(144.511831 -38.226547),21405,Wallington,Very good,37.36910441
POINT(143.945191 -37.457489),20375,Dean,Very poor,70.68612018
POINT(145.066405 -37.812093),20379,Deepdene (Vic.),Acceptable,1.05248548
POINT(144.302555 -38.175923),21410,Wandana Heights,Very good,1.628141813
POINT(144.771290 -37.768661),20380,Deer Park,Very good,8.078435184
POINT(145.454884 -37.812335),21412,Wandin East,Very good,9.294357453
POINT(144.777320 -37.719803),20382,Delahey,Very good,3.505506635
POINT(145.426293 -37.780597),21413,Wandin North,Very good,16.62366206
POINT(144.978694 -37.357163),21415,Wandong,Acceptable,46.19436161
POINT(144.776027 -37.798795),20386,Derrimut,Very good,13.25770517
